Report_ID,Report.Status,Publication.Date,Injury.Severity,Broad.phase.of.flight,Weather.Condition,Location,Investigation.Type
2734,Probable Cause,11/9/1983,Non-Fatal,Takeoff,VMC,"WEST POINT, VA",Accident
2735,Probable Cause,11/9/1983,Non-Fatal,Landing,VMC,"PUNXSUTAWNEY, PA",Accident
2736,Probable Cause,11/9/1983,Non-Fatal,Maneuvering,VMC,"TABERG, NY",Accident
2737,Probable Cause,11/9/1983,Non-Fatal,Takeoff,VMC,"SALINAS, CA",Accident
2738,Probable Cause,11/9/1983,Non-Fatal,Cruise,VMC,"BAKERSFIELD, CA",Accident
2739,Probable Cause,12/9/1983,Non-Fatal,Approach,VMC,"AMARILLO, TX",Accident
2740,Probable Cause,12/9/1983,Fatal(6),Takeoff,VMC,"CLAYTON, NM",Accident
2741,Probable Cause,12/9/1983,Non-Fatal,Landing,VMC,"SIOUX FALLS, SD",Accident
2742,Probable Cause,12/9/1983,Non-Fatal,Landing,VMC,"SPRINGFIELD, IL",Accident
2743,Probable Cause,12/9/1983,Non-Fatal,Approach,VMC,"FREDERICK, MD",Accident
2744,Probable Cause,12/9/1983,Non-Fatal,Cruise,VMC,"OUZINKIE, AK",Accident
2745,Probable Cause,12/9/1983,Non-Fatal,Cruise,IMC,"PALM SPRINGS, CA",Accident
2746,Probable Cause,12/9/1983,Non-Fatal,Landing,VMC,"DAVIS DAM, AZ",Accident
2747,Probable Cause,12/9/1983,Non-Fatal,Takeoff,VMC,"LAKE CHARLES, LA",Incident
2748,Probable Cause,12/9/1983,Non-Fatal,Takeoff,VMC,"CANYON LAKE, TX",Accident
2749,Probable Cause,13-09-1983,Non-Fatal,Maneuvering,VMC,"CORONA, CA",Accident
2750,Probable Cause,13-09-1983,Non-Fatal,Landing,VMC,"CORONA, CA",Accident
2751,Probable Cause,13-09-1983,Incident,Other,VMC,"DELANO, CA",Accident
2752,Probable Cause,13-09-1983,Non-Fatal,Taxi,VMC,"CEDAR, MN",Accident
2753,Probable Cause,13-09-1983,Non-Fatal,Maneuvering,VMC,"PULASKI, WI",Accident
2754,Probable Cause,13-09-1983,Non-Fatal,Descent,IMC,"CANANDAIQUA, NY",Accident
2755,Probable Cause,13-09-1983,Non-Fatal,Landing,VMC,"BIRD CITY, KS",Accident
2756,Probable Cause,13-09-1983,Non-Fatal,Takeoff,VMC,"MCKINLEYVILLE, CA",Accident
2757,Probable Cause,13-09-1983,Non-Fatal,Cruise,VMC,"CHUGIAK, AK",Accident
2758,Probable Cause,14-09-1983,Fatal(2),Approach,VMC,"TUSCALOOSA, AL",Accident
2759,Probable Cause,14-09-1983,Fatal(1),Standing,VMC,"SETTLERS BAY, AK",Accident
2760,Probable Cause,14-09-1983,Non-Fatal,Landing,VMC,"LA PORTE, IN",Accident
2761,Probable Cause,14-09-1983,Fatal(1),Maneuvering,VMC,"WASHINGTON TOWN, NJ",Accident
2762,Probable Cause,14-09-1983,Non-Fatal,Takeoff,VMC,"BROOKSVILLE, FL",Accident
2763,Probable Cause,14-09-1983,Non-Fatal,Landing,VMC,"GRANADA HILLS, CA",Accident
2764,Probable Cause,14-09-1983,Non-Fatal,Cruise,VMC,"WESTLEY, CA",Accident
2765,Probable Cause,14-09-1983,Non-Fatal,Takeoff,VMC,"ROANOKE, TX",Accident
2766,Probable Cause,15-09-1983,Fatal(2),Maneuvering,VMC,"HEADLAND, AL",Accident
2767,Probable Cause,15-09-1983,Incident,Takeoff,VMC,"PHOENIX, AZ",Accident
2768,Probable Cause,15-09-1983,Non-Fatal,Landing,VMC,"FRESNO, CA",Accident
2769,Probable Cause,15-09-1983,Non-Fatal,Maneuvering,VMC,"BLUFFTON, OH",Accident
2770,Probable Cause,15-09-1983,Non-Fatal,Cruise,VMC,"MARTINSBURG, WV",Accident
2771,Probable Cause,15-09-1983,Non-Fatal,Other,VMC,"SCOOBA, MS",Accident
2772,Probable Cause,15-09-1983,Non-Fatal,Takeoff,VMC,"GLACIER BAY, AK",Accident
2773,Probable Cause,15-09-1983,Non-Fatal,Maneuvering,VMC,"GREELEY, CO",Accident
2774,Probable Cause,16-09-1983,Fatal(3),Climb,VMC,"BELLINGHAM, WA",Accident
2775,Probable Cause,16-09-1983,Fatal(1),Maneuvering,VMC,"MCCRORY, AR",Accident
2776,Probable Cause,16-09-1983,Fatal(1),Unknown,VMC,"NEW ORLEANS, LA",Accident
2777,Probable Cause,16-09-1983,Non-Fatal,Takeoff,VMC,"ANDOVER, MA",Accident
2778,Probable Cause,16-09-1983,Fatal(3),Descent,VMC,"SAVAGE, PA",Accident
2779,Probable Cause,16-09-1983,Non-Fatal,Maneuvering,VMC,"HAMMONTON, NJ",Accident
2780,Probable Cause,16-09-1983,Non-Fatal,Taxi,VMC,"MORRISVILLE, VT",Accident
2781,Probable Cause,16-09-1983,Non-Fatal,Landing,VMC,"NORTH PLATTE, NE",Accident
2782,Probable Cause,16-09-1983,Non-Fatal,Takeoff,VMC,"MADERA, CA",Accident
2783,Probable Cause,16-09-1983,Non-Fatal,Takeoff,VMC,"AGUILA, AZ",Accident
2784,Probable Cause,17-09-1983,Fatal(2),Cruise,VMC,"PINE VALLEY TOW, WI",Accident
2785,Probable Cause,17-09-1983,Non-Fatal,Landing,VMC,"LEWISTON, VA",Accident
2786,Probable Cause,17-09-1983,Fatal(4),Takeoff,VMC,"MILLBROOK, NY",Accident
2787,Probable Cause,17-09-1983,Non-Fatal,Descent,VMC,"PITTSBURGH, PA",Accident
2788,Probable Cause,17-09-1983,Non-Fatal,Landing,VMC,"FALLS CITY, NE",Accident
2789,Probable Cause,17-09-1983,Non-Fatal,Landing,VMC,"LAWRENCE, KS",Accident
2790,Probable Cause,17-09-1983,Fatal(2),Cruise,VMC,"ENGLEWOOD, FL",Accident
2791,Probable Cause,17-09-1983,Non-Fatal,Cruise,VMC,"GRAND CANYON, AZ",Accident
2792,Probable Cause,17-09-1983,Non-Fatal,Landing,VMC,"SAN JOAQUIN, CA",Accident
2793,Probable Cause,17-09-1983,Non-Fatal,Takeoff,VMC,"JONESTOWN, TX",Accident
2794,Probable Cause,18-09-1983,Non-Fatal,Landing,VMC,"TAMPA, FL",Accident
2795,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"MORGAN HILL, CA",Accident
2796,Probable Cause,18-09-1983,Fatal(4),Cruise,UNK,"RAMONA, CA",Accident
2797,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"ALBUQUERQUE, NM",Accident
2798,Probable Cause,18-09-1983,Fatal(2),Maneuvering,VMC,"HUNTSVILLE, AL",Accident
2799,Probable Cause,18-09-1983,Non-Fatal,Approach,VMC,"NOBLE, IL",Accident
2800,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"FLUSHING, NY",Incident
2801,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"LINDALE, TX",Accident
2802,Probable Cause,18-09-1983,Non-Fatal,Approach,VMC,"MILCREEK CANYON, UT",Accident
2803,Probable Cause,18-09-1983,Non-Fatal,Landing,VMC,"NEAR BORNITE, AK",Accident
2804,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"PLYMOUTH, FL",Accident
2805,Probable Cause,18-09-1983,Non-Fatal,Cruise,VMC,"HENDERSON, NV",Accident
2806,Probable Cause,18-09-1983,Non-Fatal,Landing,VMC,"ABILENE, TX",Accident
2807,Probable Cause,18-09-1983,Non-Fatal,Landing,VMC,"WOODS CROSS, UT",Accident
2808,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"DEKALB, IL",Accident
2809,Probable Cause,18-09-1983,Non-Fatal,Takeoff,VMC,"CARROLLTON, IL",Accident
2810,Probable Cause,18-09-1983,Non-Fatal,Maneuvering,VMC,"PLAINVIEW, MN",Accident
2811,Probable Cause,19-09-1983,Fatal(1),Takeoff,VMC,"ANCHORAGE, AK",Accident
2812,Probable Cause,19-09-1983,Fatal(2),Maneuvering,IMC,"SUFFOLK, VA",Accident
2813,Probable Cause,19-09-1983,Non-Fatal,Takeoff,VMC,"ST. JOSEPH, MO",Incident
2814,Probable Cause,19-09-1983,Non-Fatal,Takeoff,VMC,"ROCKWALL, TX",Accident
2815,Probable Cause,19-09-1983,Non-Fatal,Descent,VMC,"DENVER, CO",Incident
2816,Probable Cause,19-09-1983,Non-Fatal,Takeoff,VMC,"PHOENIX, AZ",Accident
2817,Probable Cause,19-09-1983,Non-Fatal,Approach,VMC,"NEAR LARAMIE, WY",Accident
2818,Probable Cause,19-09-1983,Non-Fatal,Landing,VMC,"BILLINGS, MT",Accident
2819,Probable Cause,19-09-1983,Non-Fatal,Takeoff,VMC,"BRAINERD, MN",Accident
2820,Probable Cause,19-09-1983,Non-Fatal,Landing,VMC,"WHITEHALL, WI",Accident
2821,Probable Cause,19-09-1983,Non-Fatal,Landing,VMC,"MILWAUKEE, WI",Accident
2822,Probable Cause,19-09-1983,Non-Fatal,Takeoff,VMC,"DIXIE, ID",Accident
2823,Probable Cause,19-09-1983,Non-Fatal,Approach,VMC,"UNIONVILLE, PA",Accident
2824,Probable Cause,20-09-1983,Non-Fatal,Cruise,VMC,"EL PASO, TX",Incident
2825,Probable Cause,20-09-1983,Non-Fatal,Takeoff,VMC,"15MI. NE OF CHR, CO",Accident
2826,Probable Cause,20-09-1983,Non-Fatal,Cruise,VMC,"TUNKHANNOCK, PA",Accident
2827,Probable Cause,20-09-1983,Non-Fatal,Landing,VMC,"GARDNER, MA",Accident
2828,Probable Cause,20-09-1983,Non-Fatal,Approach,VMC,"CLEARWATER, FL",Accident
2829,Probable Cause,21-09-1983,Non-Fatal,Maneuvering,VMC,"HAYWARD, CA",Accident
2830,Probable Cause,21-09-1983,Fatal(2),Cruise,VMC,"CLOVIS, NM",Accident
2831,Probable Cause,21-09-1983,Non-Fatal,Takeoff,VMC,"GUNNISON, MS",Accident
2832,Probable Cause,8/11/2012,Incident,Climb,VMC,"MURDO, SD",Accident
2833,Probable Cause,21-09-1983,Fatal(4),Cruise,VMC,"GREENSBORO, NC",Accident
2834,Probable Cause,21-09-1983,Non-Fatal,Takeoff,VMC,"PALO, IA",Accident
2835,Probable Cause,21-09-1983,Non-Fatal,Cruise,VMC,"ALVIN, TX",Accident
2836,Probable Cause,21-09-1983,Non-Fatal,Cruise,VMC,"FRIENDSWOOD, TX",Accident
2837,Probable Cause,21-09-1983,Non-Fatal,Takeoff,VMC,"WILLIAMSBURG, OH",Accident
2838,Probable Cause,22-09-1983,Incident,Descent,VMC,"HACKENSACK, MN",Accident
2839,Probable Cause,22-09-1983,Fatal(1),Standing,VMC,"NR. MCGRATH, AK",Accident
2840,Probable Cause,22-09-1983,Non-Fatal,Landing,IMC,"23 MI ENE TOUTL, WA",Accident
2841,Probable Cause,22-09-1983,Fatal(1),Cruise,IMC,"DANSVILLE, NY",Accident
2842,Probable Cause,22-09-1983,Non-Fatal,Takeoff,VMC,"LAKE OF THE OZA, MO",Accident
2843,Probable Cause,22-09-1983,Non-Fatal,Approach,VMC,"CALIFORNIA CITY, CA",Accident
2844,Probable Cause,22-09-1983,Non-Fatal,Cruise,VMC,"FORT WORTH, TX",Accident
2845,Probable Cause,22-09-1983,Non-Fatal,Takeoff,VMC,"KATY, TX",Accident
2846,Probable Cause,22-09-1983,Non-Fatal,Approach,VMC,"KENAI, AK",Accident
2847,Probable Cause,22-09-1983,Non-Fatal,Takeoff,VMC,"GALENA, ID",Accident
2848,Probable Cause,22-09-1983,Non-Fatal,Landing,VMC,"CLE ELUM, WA",Accident
2849,Probable Cause,22-09-1983,Non-Fatal,Takeoff,VMC,"BRIDGEPORT, NJ",Accident
2850,Probable Cause,23-09-1983,Fatal(1),Cruise,VMC,"KEMMERER, WY",Accident
2851,Probable Cause,23-09-1983,Incident,Takeoff,VMC,"NEAR KEMMERER, WY",Accident
2852,Probable Cause,23-09-1983,Incident,Takeoff,VMC,"PARIS, TX",Accident
2853,Probable Cause,23-09-1983,Non-Fatal,Maneuvering,VMC,"DIVIDE, MT",Accident
2854,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"BEAVER DAM, WI",Accident
2855,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"ANCHORAGE, AK",Accident
2856,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"PARIS, TX",Accident
2857,Probable Cause,23-09-1983,Non-Fatal,Cruise,VMC,"CONRAD, MT",Accident
2858,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"FORT WAYNE, IN",Accident
2859,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"HAWKINSVILLE, GA",Accident
2860,Probable Cause,23-09-1983,Non-Fatal,Approach,VMC,"KOTZEBUE, AK",Accident
2861,Probable Cause,23-09-1983,Non-Fatal,Maneuvering,VMC,"SOCIETY HILL, AL",Accident
2862,Probable Cause,23-09-1983,Non-Fatal,Landing,VMC,"HUNTINGTON BEAC, CA",Accident
2863,Probable Cause,24-09-1983,Fatal(2),Maneuvering,VMC,"HOLLY SPRINGS, NC",Accident
2864,Probable Cause,24-09-1983,Fatal(1),Approach,VMC,GULF OF MEXICO,Accident
2865,Probable Cause,24-09-1983,Non-Fatal,Maneuvering,VMC,"BELDEN, CA",Accident
2866,Probable Cause,24-09-1983,Fatal(1),Takeoff,VMC,"BERKELEY SPRING, WV",Accident
2867,Probable Cause,24-09-1983,Fatal(2),Approach,VMC,"NORMALVILLE, PA",Accident
2868,Probable Cause,24-09-1983,Non-Fatal,Landing,VMC,"OAK HILL, FL",Accident
2869,Probable Cause,24-09-1983,Non-Fatal,Cruise,VMC,"AGOURA, CA",Accident
2870,Probable Cause,24-09-1983,Non-Fatal,Landing,IMC,"CASA GRANDE, AZ",Accident
2871,Probable Cause,24-09-1983,Non-Fatal,Cruise,VMC,"PANACA, NV",Accident
2872,Probable Cause,24-09-1983,Non-Fatal,Approach,VMC,"PLACERVILLE, CA",Accident
2873,Probable Cause,25-09-1983,Non-Fatal,Approach,VMC,"ROCK SPRINGS, WY",Accident
2874,Probable Cause,25-09-1983,Fatal(1),Cruise,VMC,"SANBORNTON, NH",Accident
2875,Probable Cause,25-09-1983,Fatal(1),Maneuvering,VMC,"EXETER, CA",Accident
2876,Probable Cause,25-09-1983,Fatal(1),Go-around,IMC,"ALBIN, WY",Accident
2877,Probable Cause,25-09-1983,Fatal(2),Cruise,VMC,"GALLATIN, TN",Accident
2878,Probable Cause,25-09-1983,Non-Fatal,Takeoff,VMC,"FRIDAY HARBOR, WA",Accident
2879,Probable Cause,25-09-1983,Non-Fatal,Landing,VMC,"BOONES MILL, VA",Accident
2880,Probable Cause,25-09-1983,Non-Fatal,Takeoff,VMC,"40 NM WNW SALMO, ID",Accident
2881,Probable Cause,25-09-1983,Non-Fatal,Landing,VMC,"ALLENDALE, SC",Accident
2882,Probable Cause,26-09-1983,Fatal(2),Maneuvering,VMC,"CHINO, CA",Accident
2883,Probable Cause,26-09-1983,Fatal(5),Cruise,IMC,"ATHENS, TN",Accident
2884,Probable Cause,26-09-1983,Fatal(4),Cruise,IMC,"N. FT. LAUDERDA, FL",Accident
2885,Probable Cause,26-09-1983,Non-Fatal,Cruise,VMC,"REDMOND, OR",Accident
2886,Probable Cause,26-09-1983,Fatal(3),Climb,IMC,"GONZALES, CA",Accident
2887,Probable Cause,26-09-1983,Fatal(1),Unknown,VMC,"WATERTOWN, SD",Accident
2888,Probable Cause,26-09-1983,Non-Fatal,Cruise,VMC,"CAMP CROOK, SD",Accident
2889,Probable Cause,26-09-1983,Non-Fatal,Descent,VMC,"DILLON, MI",Accident
2890,Probable Cause,26-09-1983,Non-Fatal,Takeoff,VMC,"KEMMERER, WY",Accident
2891,Probable Cause,26-09-1983,Fatal(1),Landing,VMC,"SEYMOUR, IN",Accident
2892,Probable Cause,26-09-1983,Non-Fatal,Go-around,VMC,"HILLSBORO, OR",Accident
2893,Probable Cause,26-09-1983,Non-Fatal,Cruise,VMC,"ELOY, AZ",Accident
2894,Probable Cause,26-09-1983,Non-Fatal,Landing,VMC,"ABILENE, TX",Accident
2895,Probable Cause,26-09-1983,Non-Fatal,Go-around,VMC,"PIEDMONT, OK",Accident
2896,Probable Cause,26-09-1983,Non-Fatal,Takeoff,VMC,"3 1/2 NM ENE DI, OK",Accident
2897,Probable Cause,26-09-1983,Non-Fatal,Cruise,VMC,"NEAR HOMER, AK",Accident
2898,Probable Cause,27-09-1983,Fatal(1),Descent,VMC,"NORFOLK, NE",Accident
2899,Probable Cause,27-09-1983,Non-Fatal,Maneuvering,VMC,"ORDERVILLE, UT",Accident
2900,Probable Cause,27-09-1983,Non-Fatal,Takeoff,VMC,"STARFISH, AK",Accident
2901,Probable Cause,27-09-1983,Non-Fatal,Takeoff,VMC,"NEAR MELBOURNE, FL",Accident
2902,Probable Cause,27-09-1983,Non-Fatal,Cruise,VMC,"BIRMINGHAM, AL",Accident
2903,Probable Cause,27-09-1983,Non-Fatal,Cruise,VMC,"JUNNEL HILL, GA",Accident
2904,Probable Cause,27-09-1983,Non-Fatal,Landing,VMC,"EVANSVILLE, IN",Accident
2905,Probable Cause,27-09-1983,Non-Fatal,Approach,VMC,"SCOTTSDALE, AZ",Accident
2906,Probable Cause,27-09-1983,Non-Fatal,Cruise,VMC,"MIDLAND, TX",Accident
2907,Probable Cause,27-09-1983,Non-Fatal,Landing,VMC,"EL PASO, TX",Accident
2908,Probable Cause,27-09-1983,Non-Fatal,Takeoff,VMC,"27NE ROGUE RIVE, OR",Accident
2909,Probable Cause,28-09-1983,Non-Fatal,Takeoff,VMC,"ERIE, CO",Accident
2910,Probable Cause,28-09-1983,Non-Fatal,Landing,VMC,"SPARTANBURG, SC",Accident
2911,Probable Cause,28-09-1983,Non-Fatal,Descent,VMC,"CORDOVA, AK",Accident
2912,Probable Cause,28-09-1983,Non-Fatal,Landing,VMC,"NAKNEK, AK",Accident
2913,Probable Cause,28-09-1983,Fatal(2),Unknown,UNK,BUCCANEER OIL F,Accident
2914,Probable Cause,29-09-1983,Non-Fatal,Cruise,VMC,"WESTLEY, CA",Accident
2915,Probable Cause,29-09-1983,Non-Fatal,Cruise,VMC,"HUNTSVILLE, AL",Accident
2916,Probable Cause,29-09-1983,Non-Fatal,Cruise,VMC,"HOLLY SPRINGS, MS",Accident
2917,Probable Cause,30-09-1983,Incident,Cruise,VMC,"RIDOTT, IL",Accident
2918,Probable Cause,30-09-1983,Fatal(2),Cruise,IMC,"STOCKBRIDGE, GA",Accident
2919,Probable Cause,30-09-1983,Fatal(1),Maneuvering,VMC,"1 1/2 MI.N. MAY, KS",Accident
2920,Probable Cause,30-09-1983,Non-Fatal,Cruise,IMC,"SAN ANTONIO, TX",Accident
2921,Probable Cause,30-09-1983,Incident,Approach,VMC,"FRANKLIN, CA",Accident
2922,Probable Cause,30-09-1983,Non-Fatal,Takeoff,VMC,"FT. BENNING, GA",Accident
2923,Probable Cause,30-09-1983,Non-Fatal,Landing,VMC,"FORT PAYNE, AL",Accident
2924,Probable Cause,30-09-1983,Non-Fatal,Takeoff,VMC,"DUBUQUE, IA",Accident
2925,Probable Cause,30-09-1983,Non-Fatal,Cruise,VMC,"CLEVELAND, SC",Accident
2926,Probable Cause,30-09-1983,Non-Fatal,Cruise,VMC,"DELMAR, MD",Accident
2927,Probable Cause,30-09-1983,Non-Fatal,Takeoff,VMC,"AFTON, WY",Accident
2928,Probable Cause,30-09-1983,Non-Fatal,Takeoff,VMC,"SANTA YSABEL, CA",Accident
2929,Probable Cause,30-09-1983,Non-Fatal,Takeoff,VMC,"GILA BEND, AZ",Accident
2930,Probable Cause,1/10/1983,Non-Fatal,Cruise,VMC,"DELTA, UT",Accident
2931,Probable Cause,1/10/1983,Fatal(1),Approach,IMC,"PICAYUNE, MS",Accident
2932,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"ANCHORAGE, AK",Accident
2933,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"CEDAR CITY, UT",Accident
2934,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"TULUKSAK, AK",Accident
2935,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"CENTERVILLE, AL",Accident
2936,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"ORCHARDS, WA",Accident
2937,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"DOWNIEVILLE, CA",Accident
2938,Probable Cause,1/10/1983,Non-Fatal,Maneuvering,VMC,"BLAIRSVILLE, GA",Accident
2939,Probable Cause,1/10/1983,Non-Fatal,Landing,VMC,"S.E. OF HOUMA, LA",Accident
2940,Probable Cause,2/10/1983,Non-Fatal,Landing,VMC,"MEDFORD, OR",Accident
2941,Probable Cause,2/10/1983,Incident,Taxi,VMC,"FT. PIERCE, FL",Accident
2942,Probable Cause,2/10/1983,Non-Fatal,Landing,VMC,"SAN JOSE, CA",Accident
2943,Probable Cause,2/10/1983,Non-Fatal,Taxi,VMC,"MEDFORD, OR",Accident
2944,Probable Cause,2/10/1983,Non-Fatal,Cruise,VMC,"SPRINGFIELD, MO",Accident
2945,Probable Cause,2/10/1983,Non-Fatal,Maneuvering,VMC,"GLENDALE, AZ",Accident
2946,Probable Cause,2/10/1983,Non-Fatal,Takeoff,VMC,"SAN JOSE, CA",Accident
2947,Probable Cause,2/10/1983,Non-Fatal,Landing,VMC,"CORONA, CA",Accident
2948,Probable Cause,3/10/1983,Non-Fatal,Takeoff,VMC,"HYTOP, AL",Accident
2949,Probable Cause,3/10/1983,Fatal(3),Maneuvering,VMC,"SCOTIA, NY",Accident
2950,Probable Cause,3/10/1983,Fatal(5),Maneuvering,VMC,"PEMBROKE PINES, FL",Accident
2951,Probable Cause,1/2/1984,Incident,Takeoff,VMC,"MILFORD, CT",Accident
2952,Probable Cause,3/10/1983,Fatal(3),Approach,VMC,"HARLINGEN, TX",Incident
2953,Probable Cause,3/10/1983,Non-Fatal,Approach,VMC,"MOUNT POCONO, PA",Accident
2954,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"PHOENIX, AZ",Accident
2955,Probable Cause,3/10/1983,Non-Fatal,Approach,VMC,"TORRANCE, CA",Accident
2956,Probable Cause,3/10/1983,Non-Fatal,Takeoff,VMC,"MESQUITE, TX",Accident
2957,Probable Cause,3/10/1983,Non-Fatal,Takeoff,VMC,"NEW RICHLAND, MN",Accident
2958,Probable Cause,3/10/1983,Non-Fatal,Taxi,VMC,"ROSELLE, IL",Accident
2959,Probable Cause,3/10/1983,Non-Fatal,Takeoff,VMC,"ST. CHARLES, IL",Accident
2960,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"PEMBROKE PINES, FL",Accident
2961,Probable Cause,3/10/1983,Non-Fatal,Cruise,VMC,"BRAWLEY, CA",Accident
2962,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"OSHKOSH, WI",Accident
2963,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"MORGAN HILL, CA",Accident
2964,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"GUSTINE, CA",Accident
2965,Probable Cause,3/10/1983,Fatal(4),Landing,VMC,"FORT SUMNER, NM",Accident
2966,Probable Cause,3/10/1983,Non-Fatal,Takeoff,VMC,"SAINT JO, TX",Accident
2967,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"PERRYVILLE, MO",Accident
2968,Probable Cause,3/10/1983,Non-Fatal,Cruise,VMC,"ST. PETERSBURG, FL",Accident
2969,Probable Cause,3/10/1983,Non-Fatal,Landing,VMC,"GRAND CANYON, AZ",Accident
2970,Probable Cause,3/10/1983,Non-Fatal,Cruise,VMC,"LUBBOCK, TX",Accident
2971,Probable Cause,4/10/1983,Non-Fatal,Takeoff,IMC,HIGH ISLAND BLK,Accident
2972,Probable Cause,4/10/1983,Non-Fatal,Takeoff,VMC,HUMA CAO,Accident
2973,Probable Cause,4/10/1983,Non-Fatal,Maneuvering,VMC,MUSTANG BLK A11,Accident
2974,Probable Cause,4/10/1983,Non-Fatal,Landing,VMC,"PALMER, MA",Accident
2975,Probable Cause,4/10/1983,Non-Fatal,Takeoff,VMC,"DELEON, TX",Accident
2976,Probable Cause,4/10/1983,Non-Fatal,Landing,VMC,"POORMAN, AK",Accident
2977,Probable Cause,4/10/1983,Non-Fatal,Landing,VMC,"CROWNPOINT, NM",Accident
2978,Probable Cause,4/10/1983,Non-Fatal,Takeoff,VMC,"LA JOLLA, CA",Accident
2979,Probable Cause,4/10/1983,Non-Fatal,Descent,VMC,"FLOYDADA, TX",Accident
2980,Probable Cause,5/10/1983,Non-Fatal,Landing,VMC,"MAHEW, MS",Accident
2981,Probable Cause,5/10/1983,Non-Fatal,Cruise,VMC,"RICHLAND, WA",Accident
2982,Probable Cause,5/10/1983,Non-Fatal,Standing,VMC,"CARRABASSETT, ME",Accident
2983,Probable Cause,5/10/1983,Non-Fatal,Landing,VMC,"CHEYENNE, WY",Accident
2984,Probable Cause,5/10/1983,Non-Fatal,Landing,VMC,"PELL CITY, AL",Accident
2985,Probable Cause,5/10/1983,Non-Fatal,Landing,VMC,"LUSBY, MD",Accident
2986,Probable Cause,5/10/1983,Non-Fatal,Landing,VMC,"HUNTINGTON, WV",Accident
2987,Probable Cause,5/10/1983,Non-Fatal,Takeoff,VMC,"MOAB, UT",Accident
2988,Probable Cause,5/10/1983,Fatal(2),Approach,VMC,"CANASTOTA, NY",Accident
2989,Probable Cause,5/10/1983,Non-Fatal,Takeoff,VMC,"HOLLY GROVE, AR",Accident
2990,Probable Cause,6/10/1983,Fatal(1),Cruise,IMC,"YUBA CITY, CA",Accident
2991,Probable Cause,6/10/1983,Fatal(4),Cruise,VMC,"MORGAN HILL, CA",Accident
2992,Probable Cause,6/10/1983,Non-Fatal,Maneuvering,VMC,"TUSCOLA, IL",Accident
2993,Probable Cause,6/10/1983,Non-Fatal,Cruise,VMC,"HOQUIAM, WA",Accident
2994,Probable Cause,7/10/1983,Non-Fatal,Go-around,VMC,"YOUNGSTOWN, OH",Incident
2995,Probable Cause,7/10/1983,Non-Fatal,Landing,VMC,"LYLE, WA",Accident
2996,Probable Cause,7/10/1983,Non-Fatal,Landing,VMC,"BEACH LAKE, PA",Accident
2997,Probable Cause,7/10/1983,Non-Fatal,Landing,VMC,"LAFAYETTE, LA",Accident
2998,Probable Cause,7/10/1983,Non-Fatal,Landing,VMC,"ROCK SPRINGS, TX",Accident
2999,Probable Cause,7/10/1983,Non-Fatal,Landing,VMC,"TUSCALOOSA, AL",Accident
3000,Probable Cause,8/10/1983,Fatal(4),Cruise,IMC,"LOWELL, MI",Accident
3001,Probable Cause,8/10/1983,Non-Fatal,Landing,VMC,"PAINTSVILLE, KY",Accident
3002,Probable Cause,8/10/1983,Fatal(2),Cruise,IMC,"KENT, OR",Accident
3003,Probable Cause,8/10/1983,Fatal(2),Unknown,VMC,"APPLE VALLEY, CA",Accident
3004,Probable Cause,8/10/1983,Non-Fatal,Takeoff,VMC,"INTRACOASTAL CI, LA",Accident
3005,Probable Cause,8/10/1983,Fatal(1),Cruise,VMC,"ENDICOTT, NY",Accident
3006,Probable Cause,8/10/1983,Non-Fatal,Takeoff,VMC,"NEW PORT RICHEY, FL",Accident
3007,Probable Cause,8/10/1983,Non-Fatal,Cruise,VMC,"TAMPA, FL",Accident
3008,Probable Cause,9/10/1983,Non-Fatal,Takeoff,VMC,"HANKSVILLE, UT",Accident
3009,Probable Cause,9/10/1983,Non-Fatal,Cruise,VMC,"DILLSBORO, IN",Accident
3010,Probable Cause,9/10/1983,Non-Fatal,Landing,VMC,"MARIETTA, GA",Accident
3011,Probable Cause,9/10/1983,Non-Fatal,Landing,VMC,"COLUMBUS, MS",Accident
3012,Probable Cause,9/10/1983,Non-Fatal,Landing,VMC,"TIMMONSVILLE, SC",Accident
